
N(0,2)	-2.04	2.04	-4	4	
Outlier_Model()	
Start B2	
IAAA-30441	-1105	-929.5	-1192.5	-897.5	
PLD-4128	-1190	-1055	-1208.5	-1045.5	
Combination3	-1151.5	-1051	-1194	-1022	
YU-4538	-1288	-1221	-1383.5	-1205.5	
YU-4570	-1219.5	-1125.5	-1263.5	-1086	
Combination11	-1260.5	-1212.5	-1282.5	-1129	
PLD-5028	-1106	-1019	-1124.5	-998	
PLD-5029	-1206.5	-1113	-1219.5	-1049.5	
Combination15	-1117	-1052	-1190	-1015	
PLD-5932	-1016	-933	-1069.5	-911	
PLD-5933	-925	-844	-974.5	-830.5	
PLD-5934	-994.5	-926.5	-1023	-899	
PLD-5927	-967.5	-845	-976.5	-834	
PLD-5928	-990.5	-914.5	-1014.5	-856.5	
PLD-5929	-976	-909	-1010.5	-852.5	
PLD-5931	-1072	-975.5	-1113	-933.5	
Combination27	-974.5	-922.5	-998.5	-914	
MTC-3790	-1367	-1110.5	-1390.5	-1022	
BETA-189947	-1257	-1122	-1369.5	-1049	
Combination28	-1256	-1125.5	-1284.5	-1054.5	
MTC-3791	-1372	-1208.5	-1390	-1126	
BETA-189951	-1365.5	-1129	-1389.5	-1112	
Combination29	-1287	-1208	-1380	-1127.5	
MTC-3789	-1372	-1132.5	-1390.5	-1121.5	
BETA-189944	-1383	-1228	-1410.5	-1132	
Combination30	-1371.5	-1219.5	-1391.5	-1132	
MTC-3792	-1394	-1274.5	-1418	-1220	
BETA-189946	-1255	-1114	-1284.5	-1029.5	
Combination31	-1367.5	-1210.5	-1385	-1127.5	
MTC-3788	-1048	-894	-1124.5	-823	
BETA-191834	-1046.5	-929	-1119	-901	
MTC-4053	-894.5	-819.5	-928.5	-800	
Combination34	-974.5	-897.5	-1002	-844.5	
MTC-5393	-1381.5	-1211	-1405.5	-1126	
MTC-5387	-1153.5	-1019.5	-1212	-999.5	
PLD-4485	-1153	-1050.5	-1205.5	-1020	
PLD-4486	-1222.5	-1127	-1258.5	-1119.5	
PLD-4492	-1205	-1119.5	-1218.5	-1054.5	
PLD-4494	-1224.5	-1126	-1272.5	-1110	
PLD-4501	-1260	-1130	-1282	-1120	
PLD-4502	-1263.5	-1133.5	-1366	-1126	
MTC-3775	-1125	-1025	-1205.5	-1006.5	
BETA-190354	-1404.5	-1292	-1429	-1229.5	
MTC-6393	-1108.5	-1005.5	-1187.5	-934	
MTC-6394	-1190.5	-1054	-1220.5	-1011	
BETA-209318	-1277.5	-1127	-1384.5	-1057	
MTC-5104	-1286.5	-1129.5	-1382.5	-1118.5	
IAAA-31123	-1213.5	-1057	-1259	-1016.5	
MTC-4328	-1053	-933.5	-1115.5	-916	
MTC-6718	-1194	-1055.5	-1224.5	-1012.5	
MTC-4604	-1116	-1020.5	-1205.5	-996.5	
MTC-4605	-1279.5	-1129	-1381	-1114.5	
PLD-4642	-1222.5	-1127	-1258.5	-1119.5	
MTC-4608	-1279.5	-1129	-1381	-1114.5	
YU-4541	-1380.5	-1269.5	-1395.5	-1231.5	
BETA-177280	-1394	-1281	-1419.5	-1224.5	
BETA-177282	-1394	-1281	-1419.5	-1224.5	
PLD-5001	-1371	-1229.5	-1384.5	-1215	
PLD-5020	-1153	-1050.5	-1205.5	-1020	
PLD-5023	-1190	-1055	-1208.5	-1045.5	
PLD-5031	-1186	-1044.5	-1205.5	-1012	
PLD-5037	-1266.5	-1132.5	-1369.5	-1125	
PLD-5041	-1114.5	-1028	-1191.5	-1001.5	
NUTA2-12267	-1257	-1111	-1365.5	-1020	
BETA-197017	-967.5	-839	-1000	-824.5	
MTC-12204	-919	-838.5	-977	-816.5	
MTC-12205	-972	-844	-999.5	-833.5	
BETA-183449	-1434.5	-1302.5	-1494	-1276	
MTC-12212	-1108.5	-979	-1186.5	-921	
BETA-184565	-1007	-911	-1071.5	-841.5	
BETA-189556	-1029.5	-921.5	-1115	-895.5	
MTC-3787	-1123.5	-934.5	-1221	-899	
BETA-189558	-1014.5	-914.5	-1109.5	-853	
BETA-189572	-1014.5	-914.5	-1109.5	-853	
BETA-189570	-1014.5	-914.5	-1109.5	-853	
BETA-189574	-894.5	-819.5	-928.5	-800	
BETA-184541	-1069.5	-930.5	-1125.5	-904.5	
BETA-184542	-1046.5	-929	-1119	-901	
BETA-184543	-1105.5	-944.5	-1187.5	-914	
PLD-4668	-835.5	-805.5	-893.5	-800.5	
TKA-19325	-978	-906.5	-1012.5	-846.5	
TKA-19951	-903	-841.5	-920.5	-829.5	
B2	
End B2	
Sequence()	
Start B6	
IAAA-41906	-733	-413	-754	-405	
IAAA-41907	-745.5	-428	-754.5	-408.5	
Combination7	-734.5	-428.5	-750.5	-408	
MTC-9149	-749.5	-490	-757	-414.5	
PLD-10228	-751	-539	-768	-485.5	
Combination19	-748.5	-537.5	-763.5	-487	
PLD-4152	-769.5	-554.5	-787.5	-540	
MTC-6956	-791.5	-588.5	-796.5	-544	
BETA-215256	-808.5	-596.5	-820	-548	
PLD-5778	-754.5	-547.5	-768	-538.5	
BETA-212350	-790.5	-554.5	-798	-538.5	
BETA-215257	-750	-489	-759	-413.5	
PLD-5779	-751	-539	-768	-485.5	
MTC-7167	-791.5	-588.5	-796.5	-544	
MTC-6957	-799	-597	-803.5	-551.5	
PLD-5780	-793	-591	-796	-549.5	
MTC-6958	-795	-590	-799	-547	
BETA-215258	-784.5	-553.5	-796	-519.5	
PLD-5781	-779.5	-565	-790.5	-542.5	
PLD-7565	-779.5	-565	-790.5	-542.5	
PLD-4153	-789	-589	-793	-546.5	
MTC-6959	-749	-493	-756	-427	
BETA-215259	-764.5	-542	-787.5	-429.5	
PLD-5782	-751.5	-542	-765	-522.5	
MTC-7168	-761	-548	-781.5	-515.5	
MTC-6960	-793	-589.5	-797.5	-545.5	
BETA-215261	-790.5	-554.5	-798	-538.5	
PLD-5783	-791.5	-596	-794.5	-554.5	
MTC-6961	-795	-590	-799	-547	
BETA-215262	-804.5	-591	-812.5	-545	
PLD-5784	-756	-546.5	-772	-522	
MTC-6962	-773.5	-553.5	-791	-539.5	
PLD-5785	-771.5	-568	-784.5	-545.5	
PLD-4154	-756	-546.5	-772	-522	
MTC-9878	-804.5	-671.5	-812	-551.5	
PLD-8444	-779.5	-565	-790.5	-542.5	
BETA-215263	-794	-560	-801.5	-539	
PLD-5786	-754.5	-547.5	-768	-538.5	
MTC-7169	-795	-590	-799	-547	
MTC-6964	-752	-522.5	-766.5	-428.5	
BETA-215264	-773	-547.5	-794.5	-507.5	
PLD-5787	-748.5	-537.5	-762.5	-489	
MTC-6965	-793	-589.5	-797.5	-545.5	
BETA-215265	-764.5	-542	-787.5	-429.5	
PLD-5788	-748.5	-515.5	-762	-429.5	
MTC-6966	-749	-493	-756	-427	
BETA-215266	-750	-489	-759	-413.5	
PLD-5789	-747.5	-519.5	-760.5	-432.5	
Combination20	-766.5	-589.5	-769	-552	
PLD-11936	-773	-556	-789	-541	
PLD-11937	-748.5	-515.5	-762	-429.5	
Combination33	-753.5	-548	-767.5	-539	
BETA-198869	-823.5	-783.5	-894.5	-671.5	
PLD-8229	-792.5	-770.5	-800	-592.5	
MTC-10967	-404.5	-259	-469.5	-206	
MTC-10968	-472	-378	-535.5	-361.5	
MTC-10969	-505	-391	-729.5	-374.5	
IAAA-41910	-784.5	-553.5	-796	-519.5	
IAAA-41911	-514	-399	-745.5	-387.5	
IAAA-41913	-728	-409.5	-751	-402	
PLD-4074	-726	-426.5	-747	-405.5	
PLD-4075	-729.5	-428.5	-748.5	-406.5	
PLD-4076	-404.5	-387.5	-469.5	-364	
PLD-4077	-361.5	-208.5	-378	-201.5	
PLD-4078	-746.5	-485.5	-752	-413	
MTC-6989	-699.5	-403	-749	-396	
BETA-140616	-514	-399	-745.5	-387.5	
IAAA-31115	-794	-560	-801.5	-539	
IAAA-31111	-797.5	-588.5	-804.5	-540	
IAAA-31109	-782	-543.5	-796.5	-430	
IAAA-31114	-756.5	-539	-773.5	-428.5	
NUTA2-9042	-748.5	-514	-761	-429	
NUTA2-9089	-729.5	-429	-747.5	-407	
